province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Chau Doc,33,23,5,NE,0.0,69,10,1013,2012-01-05
Chau Doc,30,21,14,NE,0.0,64,26,1009,2013-01-05
Chau Doc,33,23,6,S,0.0,66,23,1010,2014-01-05
Chau Doc,33,24,6,SW,3.2,71,54,1010,2015-01-05
Chau Doc,33,26,8,SE,1.8,63,69,1012,2016-01-05
Chau Doc,31,24,9,E,2.7,79,27,1009,2017-01-05
Chau Doc,30,25,7,SSW,15.4,76,46,1009,2018-01-05
Chau Doc,31,24,16,ESE,0.1,79,18,1013,2019-01-05
Chau Doc,34,23,7,S,0.0,67,6,1012,2020-01-05
Chau Doc,26,23,11,SE,6.3,79,78,1011,2021-01-05
Chau Doc,30,21,16,NNE,0.0,60,10,1014,2009-01-08
Chau Doc,27,19,20,ESE,0.0,61,14,1015,2009-01-10
Chau Doc,33,25,8,SSE,0.6,64,39,1011,2010-01-10
Chau Doc,31,20,15,NNE,0.0,57,6,1009,2011-01-10
Chau Doc,31,23,15,E,0.1,63,50,1011,2012-01-10
Chau Doc,33,23,12,SE,0.6,68,26,1010,2013-01-10
Chau Doc,32,23,7,ESE,0.1,65,48,1012,2014-01-10
Chau Doc,32,23,5,SSE,0.5,69,23,1012,2015-01-10
Chau Doc,33,24,11,SE,0.0,69,32,1013,2016-01-10
Chau Doc,32,23,7,SE,8.6,77,34,1009,2017-01-10
Chau Doc,31,24,7,S,7.3,80,55,1012,2018-01-10
Chau Doc,31,24,9,ESE,0.4,72,40,1012,2019-01-10
Chau Doc,33,24,7,SSW,0.0,65,23,1009,2020-01-10
Chau Doc,30,21,9,ESE,0.0,66,11,1010,2021-01-10
Chau Doc,34,23,7,ENE,0.0,58,22,1012,2010-01-08
Chau Doc,31,21,10,NNE,0.0,63,19,1010,2011-01-08
Chau Doc,30,21,20,NE,0.0,62,40,1013,2012-01-08
Chau Doc,30,23,12,NNE,0.2,74,50,1010,2013-01-08
Chau Doc,31,25,5,WSW,0.1,62,41,1011,2014-01-08
Chau Doc,32,24,8,ENE,0.4,74,42,1011,2015-01-08
Chau Doc,33,24,11,ESE,0.7,68,42,1013,2016-01-08
Chau Doc,32,23,15,ESE,0.0,74,22,1008,2017-01-08
Chau Doc,31,24,8,SE,10.4,80,32,1011,2018-01-08
Chau Doc,31,23,9,ESE,0.0,73,35,1013,2019-01-08
Chau Doc,33,24,8,SE,0.0,67,39,1010,2020-01-08
Chau Doc,32,23,9,ENE,0.0,69,25,1009,2021-01-08
Chau Doc,29,18,15,E,0.0,57,17,1016,2009-01-12
Chau Doc,33,24,8,ESE,1.1,64,32,1013,2010-01-12
Chau Doc,32,22,10,ENE,0.0,59,12,1008,2011-01-12
Chau Doc,32,22,17,NNE,3.9,72,50,1010,2012-01-12
Chau Doc,32,23,6,ESE,0.0,63,14,1011,2013-01-12
Chau Doc,32,23,8,SE,0.3,65,29,1013,2014-01-12
Chau Doc,32,23,10,NNE,0.1,63,27,1012,2015-01-12
Chau Doc,33,24,11,SE,0.2,67,21,1012,2016-01-12
Chau Doc,32,24,7,WSW,5.4,79,32,1008,2017-01-12
Chau Doc,30,21,18,ENE,0.0,60,12,1013,2018-01-12
Chau Doc,33,24,7,ESE,2.9,71,44,1012,2019-01-12
Chau Doc,33,23,8,SE,2.5,74,67,1010,2020-01-12
Chau Doc,28,20,21,E,0.0,57,8,1012,2021-01-12
Chau Doc,28,18,20,NNE,0.0,57,1,1017,2009-01-14
Chau Doc,32,22,15,NE,0.0,52,25,1016,2010-01-14
Chau Doc,32,22,7,NNE,0.0,59,23,1010,2011-01-14
Chau Doc,31,24,9,ENE,2.2,74,52,1008,2012-01-14
Chau Doc,32,23,7,ESE,2.7,75,38,1011,2013-01-14
Chau Doc,31,20,15,ESE,0.0,58,18,1013,2014-01-14
Chau Doc,31,21,11,E,0.0,60,8,1013,2015-01-14
Chau Doc,34,25,11,ESE,0.0,66,30,1011,2016-01-14
Chau Doc,33,25,12,SSE,7.6,70,37,1008,2017-01-14
Chau Doc,30,20,12,SW,0.0,64,66,1012,2018-01-14
Chau Doc,34,24,5,SSW,0.0,65,11,1010,2019-01-14
Chau Doc,34,22,5,SE,0.0,62,11,1010,2020-01-14
Chau Doc,31,20,7,WSW,0.0,60,4,1011,2021-01-14
Chau Doc,27,18,18,E,0.0,58,17,1014,2009-01-11
Chau Doc,34,24,7,S,0.6,68,21,1012,2010-01-11
Chau Doc,33,21,12,E,0.0,59,8,1009,2011-01-11
Chau Doc,30,22,20,NNE,0.0,68,45,1011,2012-01-11
Chau Doc,32,24,9,E,0.5,67,29,1011,2013-01-11
Chau Doc,33,23,6,E,0.8,63,43,1013,2014-01-11
Chau Doc,33,24,6,SSE,0.0,68,16,1012,2015-01-11
Chau Doc,33,24,6,SSE,0.1,69,31,1013,2016-01-11
Chau Doc,32,23,6,SSE,8.1,80,38,1010,2017-01-11
Chau Doc,31,23,13,ENE,0.3,67,23,1012,2018-01-11
Chau Doc,32,23,7,ESE,0.3,73,38,1012,2019-01-11
Chau Doc,32,24,9,SSW,1.0,71,60,1009,2020-01-11
Chau Doc,31,21,12,ESE,0.0,63,20,1011,2021-01-11
Chau Doc,28,19,19,ENE,0.0,59,5,1017,2009-01-15
Chau Doc,32,22,11,NE,0.0,56,19,1015,2010-01-15
Chau Doc,32,22,9,NE,0.0,58,20,1011,2011-01-15
Chau Doc,32,24,11,ESE,4.7,76,45,1007,2012-01-15
Chau Doc,32,23,7,ESE,2.8,73,32,1012,2013-01-15
Chau Doc,30,19,14,NNE,0.0,56,2,1015,2014-01-15
Chau Doc,30,19,16,NE,0.0,48,1,1014,2015-01-15
Chau Doc,34,25,13,SE,1.2,69,27,1010,2016-01-15
Chau Doc,30,24,14,NNE,5.8,79,39,1010,2017-01-15
Chau Doc,30,23,6,SE,0.0,66,57,1010,2018-01-15
Chau Doc,33,25,9,SSE,0.0,62,22,1011,2019-01-15
Chau Doc,33,21,7,SE,0.0,69,9,1011,2020-01-15
Chau Doc,32,21,5,SSE,0.0,72,12,1010,2021-01-15
Chau Doc,32,19,10,NNE,0.0,58,4,1014,2009-01-17
Chau Doc,32,21,8,NNE,0.0,61,3,1013,2009-01-18
Chau Doc,31,22,16,ENE,0.0,54,32,1015,2010-01-17
Chau Doc,30,18,12,NNE,0.0,57,6,1012,2011-01-17
Chau Doc,32,24,11,SE,19.4,82,45,1007,2012-01-17
Chau Doc,32,21,9,ESE,0.0,59,21,1013,2013-01-17
Chau Doc,30,18,15,NNE,0.0,55,17,1015,2014-01-17
Chau Doc,31,19,6,SSE,0.0,58,20,1014,2015-01-17
Chau Doc,34,24,8,SSE,0.1,69,15,1010,2016-01-17
Chau Doc,31,23,7,E,0.1,79,39,1011,2017-01-17
Chau Doc,31,23,7,S,9.3,78,60,1009,2018-01-17
Chau Doc,31,24,7,ESE,0.1,70,39,1011,2019-01-17
Chau Doc,34,23,7,SE,0.0,67,16,1012,2020-01-17
Chau Doc,31,21,9,E,0.0,68,27,1011,2021-01-17
Chau Doc,31,22,15,ENE,0.0,53,20,1014,2010-01-18
Chau Doc,32,20,8,ESE,0.0,59,1,1011,2011-01-18
Chau Doc,32,23,11,SE,14.9,82,50,1008,2012-01-18
Chau Doc,31,21,20,NNE,0.0,51,19,1014,2013-01-18
Chau Doc,30,19,17,NNE,0.0,57,9,1016,2014-01-18
Chau Doc,31,21,10,ENE,0.0,57,25,1014,2015-01-18
Chau Doc,34,26,8,SSE,4.5,69,26,1010,2016-01-18
Chau Doc,31,23,7,E,0.4,72,39,1013,2017-01-18
Chau Doc,32,24,5,S,2.5,76,37,1009,2018-01-18
Chau Doc,32,24,9,E,0.0,62,27,1011,2019-01-18
Chau Doc,34,23,7,SSE,0.0,68,15,1012,2020-01-18
Chau Doc,29,20,17,NNE,0.0,58,9,1012,2021-01-18
Chau Doc,28,19,21,NNE,0.0,58,21,1017,2009-01-13
Chau Doc,33,23,11,ENE,0.0,59,26,1014,2010-01-13
Chau Doc,31,22,6,ESE,0.0,64,27,1009,2011-01-13
Chau Doc,32,22,13,E,3.9,75,51,1010,2012-01-13
Chau Doc,33,23,5,ESE,0.2,66,31,1011,2013-01-13
Chau Doc,32,22,16,NNE,0.0,58,16,1012,2014-01-13
Chau Doc,31,22,17,E,0.1,61,19,1012,2015-01-13
Chau Doc,34,24,13,SE,0.2,69,35,1011,2016-01-13
Chau Doc,33,25,8,S,0.3,71,24,1008,2017-01-13
Chau Doc,30,20,13,S,0.0,63,7,1013,2018-01-13
Chau Doc,33,24,6,ESE,2.1,70,31,1011,2019-01-13
Chau Doc,32,23,7,SSE,0.1,69,49,1010,2020-01-13
Chau Doc,28,18,11,SW,0.0,61,6,1012,2021-01-13
Chau Doc,30,19,14,ENE,0.0,61,13,1016,2009-01-16
Chau Doc,29,23,15,ENE,0.0,55,26,1016,2010-01-16
Chau Doc,31,21,10,ENE,0.0,62,18,1011,2011-01-16
Chau Doc,32,23,10,ESE,7.9,78,44,1007,2012-01-16
Chau Doc,32,22,10,ENE,0.6,65,13,1013,2013-01-16
Chau Doc,30,18,11,SW,0.0,58,8,1015,2014-01-16
Chau Doc,31,19,13,ESE,0.0,50,1,1014,2015-01-16
Chau Doc,34,25,9,SE,2.7,72,30,1010,2016-01-16
Chau Doc,29,23,15,ENE,5.1,84,77,1010,2017-01-16
Chau Doc,31,24,7,SW,4.6,73,40,1010,2018-01-16
Chau Doc,32,25,7,SSE,8.5,71,40,1011,2019-01-16
Chau Doc,33,22,6,SSE,0.0,69,23,1011,2020-01-16
Chau Doc,32,21,6,S,0.0,71,28,1010,2021-01-16
Chau Doc,34,21,6,E,0.0,63,1,1011,2009-01-20
Chau Doc,23,21,11,WSW,21.6,93,93,1011,2010-01-20
Chau Doc,33,21,11,SE,0.0,55,33,1009,2011-01-20
Chau Doc,31,23,11,SE,7.3,82,31,1009,2012-01-20
Chau Doc,33,22,8,SSE,0.0,61,23,1013,2013-01-20
Chau Doc,30,18,16,SE,0.0,56,12,1015,2014-01-20
Chau Doc,31,21,9,SE,0.0,61,14,1015,2015-01-20
Chau Doc,34,25,12,ESE,0.0,69,26,1012,2016-01-20
Chau Doc,31,24,7,ENE,4.2,76,47,1012,2017-01-20
Chau Doc,32,24,7,SE,1.0,74,21,1009,2018-01-20
Chau Doc,34,24,7,SSE,0.0,64,19,1012,2019-01-20
Chau Doc,34,23,10,SE,0.0,68,13,1012,2020-01-20
Chau Doc,31,21,9,NW,0.0,58,25,1011,2021-01-20
Chau Doc,34,21,5,SW,0.0,62,19,1010,2009-01-22
Chau Doc,31,23,9,SE,3.9,82,22,1013,2010-01-22
Chau Doc,33,24,8,SE,2.4,72,46,1010,2011-01-22
Chau Doc,33,22,8,SE,0.2,74,19,1010,2012-01-22
Chau Doc,34,23,8,ESE,2.1,71,47,1013,2013-01-22
Chau Doc,29,18,20,E,0.0,51,13,1015,2014-01-22
Chau Doc,31,22,5,SSW,0.0,64,13,1016,2015-01-22
Chau Doc,35,23,9,SE,0.0,67,16,1013,2016-01-22
Chau Doc,32,23,11,ENE,0.3,69,38,1014,2017-01-22
Chau Doc,32,24,6,SW,22.6,79,58,1008,2018-01-22
Chau Doc,33,24,10,SE,1.4,64,26,1013,2019-01-22
Chau Doc,34,23,10,SE,0.0,67,17,1013,2020-01-22
Chau Doc,31,23,8,SSW,1.1,72,52,1009,2021-01-22
Chau Doc,34,21,5,ESE,0.0,63,4,1012,2009-01-19
Chau Doc,25,22,13,E,31.2,74,64,1012,2010-01-19
Chau Doc,33,20,9,SE,0.0,57,10,1009,2011-01-19
Chau Doc,31,23,13,SE,20.2,83,46,1009,2012-01-19
Chau Doc,32,20,12,E,0.0,61,1,1013,2013-01-19
Chau Doc,30,18,14,ENE,0.0,55,6,1016,2014-01-19
Chau Doc,31,21,9,E,0.0,59,8,1014,2015-01-19
Chau Doc,33,25,15,SE,1.6,73,44,1011,2016-01-19
Chau Doc,32,23,6,SSE,0.4,73,31,1012,2017-01-19
Chau Doc,31,24,5,SSW,12.4,77,55,1010,2018-01-19
Chau Doc,33,23,6,E,0.0,60,17,1011,2019-01-19
Chau Doc,33,23,9,SE,0.0,68,28,1011,2020-01-19
Chau Doc,28,19,9,WSW,0.0,63,24,1011,2021-01-19
Chau Doc,33,23,6,ESE,0.0,64,5,1011,2009-01-21
Chau Doc,31,22,9,SE,7.0,84,50,1012,2010-01-21
Chau Doc,33,23,6,ESE,3.9,68,55,1010,2011-01-21
Chau Doc,32,22,11,SE,0.1,75,22,1009,2012-01-21
Chau Doc,34,23,8,ENE,0.0,65,16,1013,2013-01-21
Chau Doc,30,20,18,ENE,0.0,53,32,1015,2014-01-21
Chau Doc,32,22,10,ENE,0.0,53,4,1016,2015-01-21
Chau Doc,35,24,13,SE,0.0,66,19,1012,2016-01-21
Chau Doc,32,23,10,NE,0.9,73,37,1013,2017-01-21
Chau Doc,32,24,6,WSW,16.8,75,39,1008,2018-01-21
Chau Doc,32,24,7,SSE,0.5,68,43,1012,2019-01-21
Chau Doc,34,23,7,ESE,0.0,66,21,1013,2020-01-21
Chau Doc,32,22,7,SSW,0.0,64,28,1010,2021-01-21
Chau Doc,32,25,10,ENE,0.1,62,43,1012,2009-01-25
Chau Doc,34,23,8,E,0.2,68,23,1012,2010-01-25
Chau Doc,33,21,13,NE,0.6,63,42,1011,2011-01-25
Chau Doc,32,23,10,ENE,3.8,73,30,1010,2012-01-25
Chau Doc,33,23,9,ESE,0.1,68,30,1012,2013-01-25
Chau Doc,30,18,7,SE,0.0,62,3,1012,2014-01-25
Chau Doc,33,23,9,ESE,0.0,63,1,1014,2015-01-25
Chau Doc,30,21,19,NNE,1.8,55,22,1015,2016-01-25
Chau Doc,32,24,9,NE,6.1,72,56,1014,2017-01-25
Chau Doc,31,24,6,SE,12.0,80,61,1007,2018-01-25
Chau Doc,32,22,5,ESE,0.0,61,2,1014,2019-01-25
Chau Doc,32,22,10,S,0.0,74,30,1011,2020-01-25
Chau Doc,31,22,7,SSE,0.8,77,50,1011,2021-01-25
Chau Doc,33,24,8,S,0.2,63,49,1010,2009-01-23
Chau Doc,33,23,10,ESE,0.0,74,21,1013,2010-01-23
Chau Doc,33,24,7,ESE,4.7,75,49,1011,2011-01-23
Chau Doc,33,22,5,SSW,2.8,73,36,1010,2012-01-23
Chau Doc,33,23,8,SE,4.5,74,25,1012,2013-01-23
Chau Doc,28,17,12,W,0.0,54,2,1015,2014-01-23
Chau Doc,33,20,8,ESE,0.0,63,10,1014,2015-01-23
Chau Doc,34,24,10,ESE,0.0,70,25,1013,2016-01-23
Chau Doc,31,21,12,ENE,0.0,65,39,1014,2017-01-23
Chau Doc,31,24,6,SE,25.1,80,57,1008,2018-01-23
Chau Doc,31,23,9,E,0.8,64,16,1013,2019-01-23
Chau Doc,33,22,9,SSE,0.0,70,25,1012,2020-01-23
Chau Doc,28,24,8,SSE,9.7,78,67,1010,2021-01-23
Chau Doc,31,24,11,ENE,0.5,72,56,1011,2009-01-24
Chau Doc,33,23,10,ESE,0.0,66,24,1013,2010-01-24
Chau Doc,33,22,9,ENE,2.5,72,41,1011,2011-01-24
Chau Doc,33,23,9,SSE,1.8,71,27,1010,2012-01-24
Chau Doc,33,23,7,SE,0.0,72,22,1012,2013-01-24
Chau Doc,34,16,4,SSW,0.0,53,2,1013,2014-01-24
Chau Doc,33,21,9,SE,0.0,62,4,1014,2015-01-24
Chau Doc,33,25,12,E,3.6,66,47,1014,2016-01-24
Chau Doc,33,23,11,NE,0.0,64,42,1013,2017-01-24
Chau Doc,31,24,6,SE,20.6,81,49,1008,2018-01-24
Chau Doc,31,22,6,SE,0.0,64,11,1013,2019-01-24
Chau Doc,34,22,9,SSE,0.0,66,7,1012,2020-01-24
Chau Doc,30,23,6,SSW,10.9,80,63,1011,2021-01-24
Chau Doc,33,22,9,ENE,0.0,58,14,1011,2009-01-27
Chau Doc,34,25,9,ENE,0.9,63,30,1013,2010-01-27
Chau Doc,34,21,10,ENE,7.2,72,42,1012,2011-01-27
Chau Doc,32,23,8,E,0.1,70,25,1010,2012-01-27
Chau Doc,33,22,9,SE,0.2,68,39,1013,2013-01-27
Chau Doc,31,20,7,ESE,0.0,66,15,1013,2014-01-27
Chau Doc,35,24,8,SE,0.0,58,1,1012,2015-01-27
Chau Doc,32,22,13,SE,0.0,60,46,1013,2016-01-27
Chau Doc,31,21,12,NE,2.0,64,14,1013,2017-01-27
Chau Doc,32,24,5,SE,11.8,76,26,1008,2018-01-27
Chau Doc,32,22,7,SE,0.0,60,12,1014,2019-01-27
Chau Doc,33,22,12,SSE,0.0,71,21,1010,2020-01-27
Chau Doc,33,23,8,SSE,0.0,71,22,1010,2021-01-27
Chau Doc,34,22,6,E,0.0,59,8,1011,2009-01-28
Chau Doc,34,24,10,ESE,0.0,61,29,1012,2010-01-28
Chau Doc,33,22,10,NE,6.5,72,32,1011,2011-01-28
Chau Doc,30,23,7,SSW,0.8,73,56,1010,2012-01-28
Chau Doc,33,23,8,ESE,0.3,69,33,1012,2013-01-28
Chau Doc,32,20,6,S,0.0,66,33,1012,2014-01-28
Chau Doc,34,22,9,SE,0.0,66,7,1012,2015-01-28
Chau Doc,32,24,9,SE,0.0,69,42,1012,2016-01-28
Chau Doc,31,21,8,SW,0.0,62,17,1012,2017-01-28
Chau Doc,31,24,6,S,30.9,82,37,1009,2018-01-28
Chau Doc,33,22,7,SE,0.0,63,22,1013,2019-01-28
Chau Doc,33,21,7,SSE,0.0,72,42,1011,2020-01-28
Chau Doc,31,23,7,SSE,0.1,74,35,1011,2021-01-28
Chau Doc,35,22,6,E,0.0,56,4,1010,2009-01-29
Chau Doc,34,24,9,E,0.0,59,32,1012,2010-01-29
Chau Doc,33,21,15,NE,1.6,59,26,1011,2011-01-29
Chau Doc,30,23,8,E,7.3,82,63,1009,2012-01-29
Chau Doc,33,23,8,ESE,1.8,70,27,1012,2013-01-29
Chau Doc,32,21,7,ESE,0.0,65,17,1013,2014-01-29
Chau Doc,35,21,9,ESE,0.0,62,2,1012,2015-01-29
Chau Doc,34,24,11,ESE,0.2,68,41,1012,2016-01-29
Chau Doc,32,22,5,ENE,0.0,58,12,1012,2017-01-29
Chau Doc,32,24,8,SE,13.5,79,36,1010,2018-01-29
Chau Doc,33,23,8,SE,0.0,64,21,1013,2019-01-29
Chau Doc,33,21,9,SE,0.0,71,32,1012,2020-01-29
Chau Doc,32,23,9,ESE,0.1,66,30,1012,2021-01-29
Chau Doc,34,23,7,ENE,0.0,61,17,1012,2009-01-26
Chau Doc,31,24,7,ESE,0.9,73,40,1013,2010-01-26
Chau Doc,33,22,14,NE,2.6,62,30,1011,2011-01-26
Chau Doc,32,23,8,S,2.4,75,20,1010,2012-01-26
Chau Doc,33,23,8,SE,0.3,70,36,1012,2013-01-26
Chau Doc,30,19,7,ESE,0.0,67,27,1013,2014-01-26
Chau Doc,34,24,7,ESE,0.0,61,2,1014,2015-01-26
Chau Doc,31,20,14,E,0.0,56,40,1015,2016-01-26
Chau Doc,31,24,9,ENE,7.4,75,54,1013,2017-01-26
Chau Doc,32,24,6,SE,7.7,78,35,1008,2018-01-26
Chau Doc,32,21,7,E,0.0,56,14,1014,2019-01-26
Chau Doc,34,22,7,SSE,0.0,71,19,1010,2020-01-26
Chau Doc,32,23,10,SSE,0.1,70,35,1010,2021-01-26
Chau Doc,34,22,8,ESE,0.0,61,8,1012,2009-02-01
Chau Doc,35,23,8,SE,0.0,62,39,1012,2010-02-01
Chau Doc,34,21,8,E,0.0,62,17,1012,2011-02-01
Chau Doc,32,23,7,ENE,3.1,76,35,1011,2012-02-01
Chau Doc,35,23,8,SE,0.0,65,23,1013,2013-02-01
Chau Doc,33,20,8,SSW,0.0,68,10,1012,2014-02-01
Chau Doc,32,21,12,ENE,0.0,57,6,1014,2015-02-01
Chau Doc,34,24,7,SE,0.0,64,26,1011,2016-02-01
Chau Doc,33,22,10,SSE,0.7,61,43,1011,2017-02-01
Chau Doc,31,24,6,SE,13.4,78,47,1012,2018-02-01
Chau Doc,32,23,9,ESE,0.0,68,28,1013,2019-02-01
Chau Doc,32,21,11,ESE,0.0,66,16,1012,2020-02-01
Chau Doc,33,22,7,WSW,0.0,68,18,1012,2021-02-01
Chau Doc,34,22,5,SSE,0.0,61,10,1010,2009-01-30
Chau Doc,32,24,9,ESE,0.0,65,38,1012,2010-01-30
Chau Doc,33,21,13,NNE,0.0,58,17,1012,2011-01-30
Chau Doc,32,23,10,E,1.4,77,57,1010,2012-01-30
Chau Doc,34,22,9,SE,0.5,65,26,1013,2013-01-30
Chau Doc,32,21,7,E,0.0,62,21,1013,2014-01-30
Chau Doc,34,23,9,ESE,0.0,63,5,1013,2015-01-30
Chau Doc,34,24,12,SE,0.1,68,34,1011,2016-01-30
Chau Doc,32,23,6,E,0.0,62,10,1011,2017-01-30
Chau Doc,32,24,7,S,9.4,78,28,1011,2018-01-30
Chau Doc,33,23,10,ESE,0.0,66,19,1013,2019-01-30
Chau Doc,32,22,9,SE,0.1,72,42,1012,2020-01-30
Chau Doc,32,22,8,SSE,0.0,64,6,1012,2021-01-30
Chau Doc,34,22,7,ENE,0.0,56,7,1012,2009-02-02
Chau Doc,35,24,8,SSE,0.0,67,43,1011,2010-02-02
